Adult admissions to correctional services c 1 2 3
"Annual"
"Table: 35-10-0014-01 (formerly CANSIM 251-0020)"
"Geography: Canada, Province or territory"

"","Provinces and territories 5 6",,,,,"Newfoundland and Labrador 7",,,,,"Prince Edward Island 8",,,,,"Nova Scotia 9",,,,,"New Brunswick 10",,,,,"Quebec",,,,,"Ontario 11",,,,,"Manitoba 12",,,,,"Saskatchewan 13",,,,,"Alberta 14",,,,,"British Columbia 15",,,,,"Yukon",,,,,"Northwest Territories 16",,,,,"Nunavut 17",,,,
"Custodial and community admissions4","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018"
"","Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total custodial admissions 18","201,099","197,454","201,189","251,986","241,578","1,901","1,981","2,030","2,050","1,931","779","754","664","670","680","5,403","5,079","5,023","4,741","4,812","4,799","4,736","5,046","5,252","5,490","43,561","43,843","43,165","43,665","45,380","80,700","75,657","75,319","74,664","69,190","27,082","26,404","27,658","28,874","29,791","11,677","12,193","13,186","13,392","13,304","..","..","..","48,494","42,493","22,448","24,238","26,497","27,764","25,976","735","691","709","504","476","981","814","1,036","1,026","1,073","1,033","1,064","856","890","982"
"Sentenced 19","64,604","62,279","62,771","84,543","79,056","1,085","1,131","1,038","977","938","562","547","511","484","481","2,053","1,837","1,838","1,642","1,586","2,278","2,306","2,392","2,514","2,464","9,752","10,290","10,469","11,467","12,682","27,724","24,845","23,641","22,951","20,729","6,316","6,229","6,883","7,114","7,333","4,501","4,401","4,609","4,595","4,660","..","..","..","20,544","16,716","9,010","9,546","10,268","11,279","10,534","240","256","257","118","162","522","374","438","412","356","561","517","427","446","415"
"Remand 20","118,512","117,211","119,625","147,348","142,007","719","764","879","981","891","216","207","153","186","196","3,093","2,995","2,944","2,881","3,034","2,054","1,987","2,119","2,223","2,350","30,556","30,106","28,972","28,625","29,140","48,328","46,259","46,874","46,910","43,646","13,123","12,717","13,260","14,375","14,781","6,862","7,476","8,274","8,547","8,374","..","..","..","26,172","23,914","12,155","13,290","14,679","15,011","14,089","475","423","444","379","308","459","440","598","614","717","472","547","429","444","567"
"Other custodial statuses 21","17,983","17,964","18,793","20,095","20,515","97","86","113","92","102","1","0","0","0","3","257","247","241","218","192","467","443","535","515","676","3,253","3,447","3,724","3,573","3,558","4,648","4,553","4,804","4,803","4,815","7,643","7,458","7,515","7,385","7,677","314","316","303","250","270","..","..","..","1,778","1,863","1,283","1,402","1,550","1,474","1,353","20","12","8","7","6","..","..","..","0","0","..","..","..","..",".."
"Probation 22","70,418","66,128","65,782","77,110","74,576","1,427","1,392","1,393","1,323","1,367","912","854","708","706","752","2,863","2,687","2,762","2,607","2,598","1,677","1,588","1,566","1,595","1,524","9,295","9,168","9,141","9,852","10,388","31,501","28,455","27,686","28,400","26,896","8,166","8,023","7,784","7,819","7,987","4,113","4,408","4,972","5,003","5,115","..","..","..","10,026","8,548","9,447","8,808","9,026","9,018","8,656","322","288","316","320","271","342","312","317","342","339","353","145","111","99","135"
"Conditional sentence 23","14,623","12,531","11,205","12,400","12,162","436","458","362","379","387","19","20","18","25","19","771","645","659","643","647","488","500","507","520","486","3,016","2,457","1,893","1,816","1,822","4,271","3,544","3,188","3,524","3,462","1,196","977","926","898","689","1,547","1,548","1,574","1,485","1,571","..","..","..","972","1,000","2,660","2,242","1,933","1,964","1,898","88","65","90","95","77","56","35","34","49","54","75","40","21","30","50"

.. : not available for a specific reference period,

Corrections:
Date:,Note:
2016-03-31T04:00:00Z,"On March 31, 2016, the provincial and territorial total for total custodial admissions, total sentenced admissions and total remand admissions for 2014-2015 were corrected."

Footnotes:
1,"This product is based on data from the Adult Correctional Services Survey (ACS), the Integrated Correctional Services Survey (ICSS) and the Canadian Correctional Services Survey (CCSS). The ACS, the ICSS and CCSS are administered by the Canadian Centre for Justice Statistics (Statistics Canada) in collaboration with adult provincial/territorial and federal correctional systems responsible for correctional services in Canada. These surveys collect statistical information on the delivery of adult correctional services and provide important indicators as to the nature and characteristics of correctional case-flow."
2,"The Adult Correctional Services Survey (ACS) is an aggregate survey whose reporting jurisdictions currently include: Prince Edward Island, Quebec, Manitoba, Yukon, Northwest Territories, and Nunavut. The Integrated Correctional Services Survey (ICSS) is a microdata survey which supplies data to the ACS. Reporting jurisdictions currently include: Newfoundland and Labrador (Adult), Nova Scotia, New Brunswick, Ontario, and Correctional Service Canada. The Canadian Correctional Services Survey (CCSS) is a new microdata survey being implemented to replace the ICSS. Reporting jurisdictions currently include: Saskatchewan, Alberta (adult) and British Columbia. Data for Alberta are not available from 2012/2013 to 2015/2016. For all Canadian Correctional Services Survey and Integrated Correctional Services Survey data respondents, comparisons to data prior to their implementation to the microdata survey should be made with caution. Data are based on a fiscal year (April 1 through March 31). Due to rounding, figures may not add to totals. These data are administrative data. Although the surveys attempt to standardize the way in which data are reported, limitations due to differences among jurisdictional operations may restrict uniform application of the definitions in some situations. For this reason, inter-jurisdictional comparisons of the data should be made with caution."
3,"On March 31, 2016, the provincial and territorial total for total custodial admissions, total sentenced admissions and total remand admissions for 2014-2015 were corrected."
4,"Admissions are counted each time a person begins any period of supervision in a correctional institution or in the community. These data describe and measure the flow of persons through correctional services over time. The same person may be included several times in the admission counts where he/she moves from one correctional program to another (e.g., from remand to sentenced custody) or re-enters the system later in the same year. Admissions therefore represent the number of entries of persons, during a fiscal year, to remand, sentenced custody or a community supervision program, regardless of the previous legal status."
5,Provincial and territorial sentenced admissions include provincial and territorial inmate admissions as well as federal inmates admitted to the provincial and territorial system prior to being transferred to a federal penitentiary.
6,The total does not necessarily represent all provinces and territories as there are variations in the availability of data for certain jurisdictions and years. Comparison among years at the national level should be made with caution. Detailed data availability information can be found in the notes associated to the provinces or territories.
7,Newfoundland and Labrador began reporting to the Integrated Correctional Services Survey in 2001/2002. Comparisons to data from previous years should be made with caution. Remand admission data exclude remands involving short periods of incarceration as these are managed by the RCMP. Other custodial status admissions data for 2000/2001 are not available.
8,"In Prince Edward Island, all data for 2004/2005 to 2006/2007; and, other custodial status admissions data prior to 2012/2013 are not available."
9,Nova Scotia began reporting to the Integrated Correctional Services Survey in 2002/2003. Comparisons to data from previous years should be made with caution.
10,"New Brunswick began reporting to the Integrated Correctional Services Survey in 2002/2003. Comparisons to data from previous years should be made with caution. Prior to 2002/2003, only those offenders who were admitted and released during the calendar year are represented in sentenced admissions by sex, Aboriginal identity, and median age on admission. Custodial admission data for 2000/2001 are not available."
11,Ontario began reporting to the Integrated Correctional Services Survey in 2003/2004. Comparisons to data from previous years should be made with caution.
12,"As of 2011/2012, data on the fine option program is not available for Manitoba."
13,"Saskatchewan began reporting to the Integrated Correctional Services Survey in 2001/2002. Comparisons to data from previous years should be made with caution. As of 2015/2016, community service, restitution and electronic monitoring are considered to be either probation or conditional sentence admissions, depending on the type of order with which they are associated. Previously, they were considered stand-alone legal statuses. Saskatchewan began reporting to the Canadian Correctional Services Survey in 2016/2017. Comparisons to data from previous years should be made with caution."
14,"Up to 2011/2012, Alberta used a different counting methodology whereby an admission to custody is counted once, regardless of change in status. The Canadian Centre for Justice Statistics (CCJS) methodology counts an admission as a movement from one status in correctional services to another. For instance, an individual who moves from remand to sentenced custody will be counted as one admission to remand and one admission to sentenced custody. As a result, the number of admissions reported by CCJS are higher than the number of admissions reported by Alberta between 2005/2006 and 2011/2012. Admissions to custody data prior to 2005/2006 have been excluded due to a system change that occurred in 2005/2006, which altered the methodology by which admissions to custody were calculated. From 2016/2017, Alberta reports admissions data through a new data collection vehicle, the Canadian Correctional Services Survey (CCSS), and is able to report admissions data as per the standard CCJS methodology. Data from 2012/2013 to 2015/2016 and custodial admissions data by median age for all reference periods and other custodial status admissions up to 2011/2012 are not available. Alberta began reporting community supervision data to the Integrated Correctional Services Survey in 2003/2004. Comparisons to data from previous years should be made with caution."
